
m,p,25,20,155
m,k,25,20,131
m,p,25,20,144
m,k,25,20,106
l,p,25,20,94
l,k,25,20,140
m,d,25,20,16
m,b,25,20,331
l,d,25,20,8
l,b,25,20,17
m,p,25,30,384
m,k,25,30,196
l,p,25,30,394
l,k,25,30,420
m,d,25,30,36
m,b,25,30,2199
l,d,25,30,13
l,b,25,30,47
m,p,25,40,1797
m,k,25,40,426
l,p,25,40,1213
l,k,25,40,1027
m,d,25,40,91
m,b,25,40,9354
l,d,25,40,26
l,b,25,40,131
m,p,25,50,3111
m,k,25,50,1531
l,p,25,50,2250
l,k,25,50,3113
m,d,25,50,98
m,b,25,50,36973
l,d,25,50,35
l,b,25,50,283
m,p,25,60,7429
m,k,25,60,2858
l,p,25,60,4574
l,k,25,60,5334
m,d,25,60,222
m,b,25,60,70203
l,d,25,60,59
l,b,25,60,321
m,p,25,70,8974
m,k,25,70,3361
l,p,25,70,7744
l,k,25,70,8800
m,d,25,70,366
m,b,25,70,177180
l,d,25,70,83
l,b,25,70,654
m,p,25,80,16122
m,k,25,80,6167
l,p,25,80,21484
l,k,25,80,23128
m,d,25,80,371
m,b,25,80,352242
l,d,25,80,64
l,b,25,80,895
m,p,25,90,23915
m,k,25,90,10010
l,p,25,90,32843
l,k,25,90,27715
m,d,25,90,605
m,b,25,90,779399
l,d,25,90,137
l,b,25,90,1381
m,p,50,20,335
m,k,50,20,259
l,p,50,20,403
l,k,50,20,500
m,d,50,20,17
m,b,50,20,1296
l,d,50,20,40
l,b,50,20,47
m,p,50,30,1329
m,k,50,30,967
l,p,50,30,1988
l,k,50,30,2348
m,d,50,30,55
m,b,50,30,12174
l,d,50,30,18
l,b,50,30,97
m,p,50,40,6559
m,k,50,40,1390
l,p,50,40,3311
l,k,50,40,6255
m,d,50,40,366
m,b,50,40,39351
l,d,50,40,31
l,b,50,40,223
m,p,50,50,10924
m,k,50,50,4670
l,p,50,50,9369
l,k,50,50,13320
m,d,50,50,188
m,b,50,50,139957
l,d,50,50,33
l,b,50,50,380
m,p,50,60,19454
m,k,50,60,9492
l,p,50,60,17242
l,k,50,60,27853
m,d,50,60,487
m,b,50,60,389150
l,d,50,60,77
l,b,50,60,852
m,p,50,70,49920
m,k,50,70,16125
l,p,50,70,39546
l,k,50,70,55368
m,d,50,70,749
m,b,50,70,851987
l,d,50,70,98
l,b,50,70,976
m,p,50,80,86147
m,k,50,80,22013
l,p,50,80,57326
l,k,50,80,78420
m,d,50,80,1226
m,b,50,80,1607934
l,d,50,80,109
l,b,50,80,1883
m,p,50,90,125781
m,k,50,90,27425
l,p,50,90,98600
l,k,50,90,110760
m,d,50,90,1103
m,b,50,90,3228495
l,d,50,90,156
l,b,50,90,3310
m,p,75,20,1138
m,k,75,20,416
l,p,75,20,521
l,k,75,20,988
m,d,75,20,31
m,b,75,20,2592
l,d,75,20,14
l,b,75,20,47
